FID,rs2,Shape_Leng,Shape_Area,ORIG_FID,POINT_X,POINT_Y
0,1,117471.896280000000000,621901075.445999980000000,1,-9757172.178950000600000,5143004.206609999800000
1,2N,202568.471423000010000,1534907027.880000100000000,2,-9764576.698349999300000,5161927.481619999700000
2,2NW,252506.051599000000000,1906490887.040000000000000,3,-9777724.297639999500000,5160391.220289999600000
3,2S,290937.689223999970000,3644627840.250000000000000,4,-9753367.751539999600000,5115243.417229999800000
4,2SW,244066.998962000010000,1806995771.609999900000000,5,-9767369.882479999200000,5125961.451050000300000
5,2W,190956.673916000000000,1263052187.730000000000000,6,-9776746.043099999400000,5143643.583540000000000
6,2WNW,179217.800419000010000,755821716.355999950000000,7,-9775878.160900000500000,5150577.728779999500000
7,2WSW,201440.961485000010000,1297477391.339999900000000,8,-9776753.316989999300000,5134248.539130000400000
8,3IN,395696.249094999980000,6035735131.159999800000000,9,-9729357.516659999300000,5094455.673139999600000
9,3N,165809.170766000000000,1350788622.180000100000000,10,-9773336.608699999700000,5177033.712630000000000
10,3NW,308414.561181999980000,3370530233.739999800000000,11,-9801253.037200000100000,5176634.915380000100000
11,3S,382286.060516999980000,7143633049.989999800000000,12,-9757151.545159999300000,5077016.891140000000000
12,3SW,384513.121908999980000,4959692757.829999900000000,13,-9780547.114259999200000,5108596.771850000100000
13,3W,293249.376072000010000,3435447416.980000000000000,14,-9806261.580150000800000,5144230.384519999800000
14,3WNW,307441.669937999980000,3737786868.090000200000000,15,-9806892.012720000000000,5161188.799519999900000
15,3WSW,337580.058128000000000,5801822406.109999700000000,16,-9808439.471750000500000,5124240.048960000300000
16,4N,318538.645052000010000,2621387255.989999800000000,17,-9779810.217059999700000,5209438.590780000200000
17,4NW,692109.094303000020000,27558992009.599998000000000,18,-9829015.225810000700000,5209718.158630000400000
18,4SW,634136.677993000020000,18133965366.099998000000000,19,-9802535.807439999700000,5076985.936549999800000
19,4W,311938.755469000030000,5540569762.699999800000000,20,-9844964.738670000800000,5146098.544169999700000
20,4WNW,321799.745087000020000,5795734856.189999600000000,21,-9843233.686520000900000,5171392.791369999800000
21,4WSW,462877.546419000020000,11281827119.700001000000000,22,-9844747.370470000400000,5108766.815109999900000
22,XIL,2189964.371350000100000,112878356433.000000000000000,23,-9898697.690470000700000,5131124.528760000100000
23,XIN,971373.561069000050000,37090156312.500000000000000,24,-9683325.841499999200000,5081964.036070000400000
24,XWI,797264.939643000020000,33343182191.000000000000000,25,-9828236.081010000800000,5261845.550420000200000